length,n_sequences
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,2
28,3
29,33
30,441
31,486
32,467
33,451
34,486
35,454
36,459
37,478
38,487
39,783
40,728
41,827
42,731
43,706
44,862
45,1136
46,1356
47,1097
48,891
49,932
50,1048
51,999
52,819
53,681
54,502
55,627
56,670
57,554
58,555
59,476
60,772
61,1202
62,1222
63,964
64,1603
65,2354
66,4123
67,1960
68,2083
69,2302
70,2608
71,3241
72,4625
73,6696
74,7660
75,9854
76,11344
77,14079
78,14788
79,15056
80,15576
81,16626
82,21972
83,32166
84,36649
85,53663
86,151336
87,337499
88,297309
89,116514
90,42134
91,18832
92,18239
93,15937
94,17972
95,21358
96,29818
97,63962
98,76553
99,40146
100,30398
101,28632
102,32421
103,23430
104,21306
105,21713
106,21450
107,19246
108,19959
109,23159
110,35953
111,16112
112,12920
113,10165
114,9290
115,9082
116,9373
117,9675
118,10809
119,17420
120,20827